Average,Knot,Lengths
0.0099999999999998,3_1,100
0.0199717999999996,3_1,100
0.0298415500000003,3_1,100
0.0394396499999993,3_1,100
0.04872584999999935,3_1,100
0.057656300000000604,3_1,100
0.06624459999999999,3_1,100
0.0745007499999989,3_1,100
0.0824854500000015,3_1,100
0.0902056499999992,3_1,100
0.09762339999999961,3_1,100
0.10479720000000076,3_1,100
0.11176209999999906,3_1,100
0.1185079500000002,3_1,100
0.12503695000000137,3_1,100
0.1313874999999985,3_1,100
0.13754660000000019,3_1,100
0.14352885000000187,3_1,100
0.1493054999999991,3_1,100
0.15485404999999974,3_1,100
0.1602645999999997,3_1,100
0.1655363499999994,3_1,100
0.17065939999999935,3_1,100
0.17568750000000044,3_1,100
0.18059239999999993,3_1,100
0.18541779999999947,3_1,100
0.190121050000001,3_1,100
0.1947138500000004,3_1,100
0.19920964999999963,3_1,100
0.20361360000000112,3_1,100
0.20791430000000044,3_1,100
0.21213719999999864,3_1,100
0.2162799500000014,3_1,100
0.22034250000000066,3_1,100
0.22430679999999908,3_1,100
0.22819875000000162,3_1,100
0.2320327000000006,3_1,100
0.2357849499999993,3_1,100
0.23946174999999892,3_1,100
0.24305595000000085,3_1,100
0.2465830499999998,3_1,100
0.25005049999999907,3_1,100
0.25343405000000074,3_1,100
0.2567298499999997,3_1,100
0.25995449999999953,3_1,100
0.26311440000000025,3_1,100
0.26621575000000014,3_1,100
0.26925279999999974,3_1,100
0.2722287000000004,3_1,100
0.2751561500000005,3_1,100
0.27802159999999976,3_1,100
0.28083125000000025,3_1,100
0.2835933500000001,3_1,100
0.28630540000000015,3_1,100
0.2889743500000005,3_1,100
0.29158925000000047,3_1,100
0.2941519500000003,3_1,100
0.2966578000000002,3_1,100
0.29909744999999993,3_1,100
0.3014867500000003,3_1,100
0.3038273,3_1,100
0.30612185000000036,3_1,100
0.30836929999999996,3_1,100
0.31056624999999993,3_1,100
0.3127040000000001,3_1,100
0.3147742499999999,3_1,100
0.3167865500000004,3_1,100
0.3187586500000001,3_1,100
0.32068450000000026,3_1,100
0.3225667000000002,3_1,100
0.3243981500000001,3_1,100
0.32617710000000033,3_1,100
0.3279075000000002,3_1,100
0.32959729999999987,3_1,100
0.3312562000000001,3_1,100
0.3328721,3_1,100
0.3344375000000001,3_1,100
0.3359485,3_1,100
0.33741455,3_1,100
0.3388341,3_1,100
0.3402020499999999,3_1,100
0.34152414999999997,3_1,100
0.34278665000000025,3_1,100
0.34399265,3_1,100
0.34513629999999973,3_1,100
0.3462227000000003,3_1,100
0.3472460000000003,3_1,100
0.3482128500000007,3_1,100
0.3491177999999996,3_1,100
0.3499613000000001,3_1,100
0.3507435000000001,3_1,100
0.35145139999999997,3_1,100
0.3520887500000002,3_1,100
0.3526472500000001,3_1,100
0.3531218499999997,3_1,100
0.3534958000000002,3_1,100
0.3537449000000002,3_1,100
0.35384390000000027,3_1,100
0.35386205000000026,3_1,100
0.3538630500000002,3_1,100
0.0099999999999998,3_1,150
0.0198759666666663,3_1,150
0.0295346000000003,3_1,150
0.038699566666666046,3_1,150
0.04755399999999945,3_1,150
0.055839033333333746,3_1,150
0.06390540000000015,3_1,150
0.07140356666666565,3_1,150
0.07863243333333456,3_1,150
0.08535916666666621,3_1,150
0.091895333333333,3_1,150
0.09803790000000034,3_1,150
0.10400806666666601,3_1,150
0.10963876666666686,3_1,150
0.1151127000000009,3_1,150
0.12032853333333224,3_1,150
0.12539920000000054,3_1,150
0.13026143333333462,3_1,150
0.13501586666666593,3_1,150
0.1395825333333336,3_1,150
0.1440486999999994,3_1,150
0.14835143333333295,3_1,150
0.15257203333333313,3_1,150
0.1566334,3_1,150
0.1606388666666666,3_1,150
0.16453006666666636,3_1,150
0.1683619000000003,3_1,150
0.17207380000000005,3_1,150
0.17572443333333337,3_1,150
0.1792718333333335,3_1,150
0.18277243333333384,3_1,150
0.18616023333333248,3_1,150
0.18950480000000058,3_1,150
0.1927596666666673,3_1,150
0.19596173333333267,3_1,150
0.19905096666666733,3_1,150
0.20208070000000025,3_1,150
0.2050305666666663,3_1,150
0.20794013333333256,3_1,150
0.2107664333333338,3_1,150
0.2135571999999999,3_1,150
0.21626423333333306,3_1,150
0.21894076666666706,3_1,150
0.2215388666666664,3_1,150
0.22410699999999967,3_1,150
0.2266228000000003,3_1,150
0.2291038333333332,3_1,150
0.2315125666666665,3_1,150
0.2338921000000003,3_1,150
0.2362183666666665,3_1,150
0.23851466666666665,3_1,150
0.24075986666666682,3_1,150
0.2429710000000001,3_1,150
0.24513173333333316,3_1,150
0.2472757333333335,3_1,150
0.2493638333333335,3_1,150
0.25141883333333304,3_1,150
0.25341306666666696,3_1,150
0.2553818000000001,3_1,150
0.25730173333333317,3_1,150
0.2591967666666667,3_1,150
0.26103606666666673,3_1,150
0.26284896666666674,3_1,150
0.26461476666666683,3_1,150
0.26635383333333323,3_1,150
0.26804203333333343,3_1,150
0.26971313333333313,3_1,150
0.2713396,3_1,150
0.2729479,3_1,150
0.27450926666666625,3_1,150
0.27604996666666654,3_1,150
0.27754599999999985,3_1,150
0.2790161333333331,3_1,150
